date,Martin Schulz,Angela Merkel,isPartial
2017-01-01,1,9,False
2017-01-08,1,9,False
2017-01-15,2,15,False
2017-01-22,50,13,False
2017-01-29,48,23,False
2017-02-05,16,19,False
2017-02-12,13,18,False
2017-02-19,12,12,False
2017-02-26,9,10,False
2017-03-05,6,13,False
2017-03-12,5,76,False
2017-03-19,16,49,False
2017-03-26,7,20,False
2017-04-02,3,11,False
2017-04-09,2,11,False
2017-04-16,3,9,False
2017-04-23,3,14,False
2017-04-30,3,14,False
2017-05-07,6,16,False
2017-05-14,9,24,False
2017-05-21,5,17,False
2017-05-28,3,37,False
2017-06-04,2,19,False
2017-06-11,3,17,False
2017-06-18,3,10,False
2017-06-25,5,20,False
2017-07-02,2,28,False
2017-07-09,4,22,False
2017-07-16,5,16,False
2017-07-23,5,10,False
2017-07-30,3,9,False
2017-08-06,4,11,False
2017-08-13,8,19,False
2017-08-20,7,18,False
2017-08-27,9,17,False
2017-09-03,27,35,False
2017-09-10,16,28,False
2017-09-17,21,51,False
2017-09-24,28,100,False
2017-10-01,6,19,False
2017-10-08,3,11,False
2017-10-15,2,12,False
2017-10-22,1,9,False
2017-10-29,1,10,False
2017-11-05,1,10,False
2017-11-12,1,12,False
2017-11-19,7,30,False
2017-11-26,4,17,False
2017-12-03,7,11,False
2017-12-10,3,11,False
2017-12-17,2,9,False
2017-12-24,2,11,False
2017-12-31,2,12,False
2018-01-07,3,16,False
2018-01-14,5,11,False
2018-01-21,8,11,False
2018-01-28,4,9,False
2018-02-04,37,14,False
2018-02-11,20,14,False
2018-02-18,4,11,False
2018-02-25,3,15,False
2018-03-04,5,14,False
2018-03-11,3,23,False
2018-03-18,2,13,False
2018-03-25,2,8,False
2018-04-01,2,8,False
2018-04-08,1,9,False
2018-04-15,1,8,False
2018-04-22,2,15,False
2018-04-29,1,8,False
2018-05-06,1,8,False
2018-05-13,1,10,False
2018-05-20,1,9,False
2018-05-27,1,9,True
