date,Angela Merkel,isPartial
2013-06-02,11,False
2013-06-09,7,False
2013-06-16,13,False
2013-06-23,11,False
2013-06-30,8,False
2013-07-07,6,False
2013-07-14,10,False
2013-07-21,8,False
2013-07-28,6,False
2013-08-04,8,False
2013-08-11,15,False
2013-08-18,12,False
2013-08-25,15,False
2013-09-01,40,False
2013-09-08,18,False
2013-09-15,40,False
2013-09-22,98,False
2013-09-29,16,False
2013-10-06,11,False
2013-10-13,8,False
2013-10-20,23,False
2013-10-27,23,False
2013-11-03,13,False
2013-11-10,10,False
2013-11-17,8,False
2013-11-24,10,False
2013-12-01,8,False
2013-12-08,9,False
2013-12-15,20,False
2013-12-22,9,False
2013-12-29,9,False
2014-01-05,49,False
2014-01-12,9,False
2014-01-19,15,False
2014-01-26,11,False
2014-02-02,8,False
2014-02-09,8,False
2014-02-16,9,False
2014-02-23,25,False
2014-03-02,15,False
2014-03-09,12,False
2014-03-16,14,False
2014-03-23,10,False
2014-03-30,8,False
2014-04-06,12,False
2014-04-13,9,False
2014-04-20,9,False
2014-04-27,11,False
2014-05-04,13,False
2014-05-11,10,False
2014-05-18,12,False
2014-05-25,15,False
2014-06-01,14,False
2014-06-08,8,False
2014-06-15,22,False
2014-06-22,10,False
2014-06-29,10,False
2014-07-06,24,False
2014-07-13,84,False
2014-07-20,11,False
2014-07-27,7,False
2014-08-03,10,False
2014-08-10,8,False
2014-08-17,11,False
2014-08-24,11,False
2014-08-31,11,False
2014-09-07,6,False
2014-09-14,7,False
2014-09-21,7,False
2014-09-28,8,False
2014-10-05,6,False
2014-10-12,9,False
2014-10-19,10,False
2014-10-26,8,False
2014-11-02,13,False
2014-11-09,20,False
2014-11-16,13,False
2014-11-23,13,False
2014-11-30,9,False
2014-12-07,14,False
2014-12-14,8,False
2014-12-21,7,False
2014-12-28,12,False
2015-01-04,15,False
2015-01-11,21,False
2015-01-18,13,False
2015-01-25,13,False
2015-02-01,21,False
2015-02-08,29,False
2015-02-15,15,False
2015-02-22,10,False
2015-03-01,10,False
2015-03-08,11,False
2015-03-15,12,False
2015-03-22,20,False
2015-03-29,11,False
2015-04-05,9,False
2015-04-12,11,False
2015-04-19,7,False
2015-04-26,9,False
2015-05-03,10,False
2015-05-10,9,False
2015-05-17,7,False
2015-05-24,16,False
2015-05-31,13,False
2015-06-07,16,False
2015-06-14,11,False
2015-06-21,22,False
2015-06-28,13,False
2015-07-05,31,False
2015-07-12,44,False
2015-07-19,21,False
2015-07-26,15,False
2015-08-02,9,False
2015-08-09,8,False
2015-08-16,14,False
2015-08-23,15,False
2015-08-30,18,False
2015-09-06,26,False
2015-09-13,25,False
2015-09-20,21,False
2015-09-27,18,False
2015-10-04,29,False
2015-10-11,18,False
2015-10-18,17,False
2015-10-25,16,False
2015-11-01,19,False
2015-11-08,26,False
2015-11-15,29,False
2015-11-22,19,False
2015-11-29,14,False
2015-12-06,48,False
2015-12-13,28,False
2015-12-20,14,False
2015-12-27,17,False
2016-01-03,19,False
2016-01-10,22,False
2016-01-17,20,False
2016-01-24,19,False
2016-01-31,17,False
2016-02-07,14,False
2016-02-14,16,False
2016-02-21,12,False
2016-02-28,17,False
2016-03-06,23,False
2016-03-13,23,False
2016-03-20,14,False
2016-03-27,11,False
2016-04-03,10,False
2016-04-10,13,False
2016-04-17,12,False
2016-04-24,14,False
2016-05-01,10,False
2016-05-08,9,False
2016-05-15,10,False
2016-05-22,10,False
2016-05-29,15,False
2016-06-05,13,False
2016-06-12,9,False
2016-06-19,21,False
2016-06-26,27,False
2016-07-03,11,False
2016-07-10,15,False
2016-07-17,23,False
2016-07-24,23,False
2016-07-31,11,False
2016-08-07,8,False
2016-08-14,10,False
2016-08-21,14,False
2016-08-28,14,False
2016-09-04,20,False
2016-09-11,10,False
2016-09-18,17,False
2016-09-25,14,False
2016-10-02,12,False
2016-10-09,12,False
2016-10-16,11,False
2016-10-23,9,False
2016-10-30,11,False
2016-11-06,33,False
2016-11-13,28,False
2016-11-20,45,False
2016-11-27,12,False
2016-12-04,29,False
2016-12-11,18,False
2016-12-18,32,False
2016-12-25,13,False
2017-01-01,10,False
2017-01-08,10,False
2017-01-15,16,False
2017-01-22,14,False
2017-01-29,21,False
2017-02-05,18,False
2017-02-12,18,False
2017-02-19,14,False
2017-02-26,9,False
2017-03-05,12,False
2017-03-12,78,False
2017-03-19,55,False
2017-03-26,21,False
2017-04-02,12,False
2017-04-09,11,False
2017-04-16,12,False
2017-04-23,15,False
2017-04-30,16,False
2017-05-07,18,False
2017-05-14,26,False
2017-05-21,19,False
2017-05-28,40,False
2017-06-04,20,False
2017-06-11,18,False
2017-06-18,11,False
2017-06-25,24,False
2017-07-02,30,False
2017-07-09,20,False
2017-07-16,16,False
2017-07-23,10,False
2017-07-30,13,False
2017-08-06,15,False
2017-08-13,18,False
2017-08-20,18,False
2017-08-27,19,False
2017-09-03,38,False
2017-09-10,28,False
2017-09-17,50,False
2017-09-24,100,False
2017-10-01,18,False
2017-10-08,14,False
2017-10-15,12,False
2017-10-22,11,False
2017-10-29,10,False
2017-11-05,11,False
2017-11-12,11,False
2017-11-19,29,False
2017-11-26,18,False
2017-12-03,12,False
2017-12-10,9,False
2017-12-17,10,False
2017-12-24,11,False
2017-12-31,11,False
2018-01-07,14,False
2018-01-14,10,False
2018-01-21,14,False
2018-01-28,11,False
2018-02-04,16,False
2018-02-11,14,False
2018-02-18,12,False
2018-02-25,15,False
2018-03-04,16,False
2018-03-11,25,False
2018-03-18,15,False
2018-03-25,11,False
2018-04-01,7,False
2018-04-08,9,False
2018-04-15,8,False
2018-04-22,14,False
2018-04-29,9,False
2018-05-06,9,False
2018-05-13,9,False
2018-05-20,9,False
2018-05-27,10,True
